Site,Storage Location,Item Description,Qty On Hand,UOM,Pack Size,Case UPC,Lot #,Brand,Manufacturer,Mfr Item #,Vendor,Vendor Item #,Unit Cost,Received Date
Lincoln Elementary,Freezer A,CHICKEN STRIPS BRD FC FROZEN 2/5 LB,14,CS,2/5 lb,,4829-B,Cardinal Valley,Cardinal Valley Poultry Co.,CV-4829,Sysco,1873452,38.50,2026-08-24
Lincoln Elementary,Freezer A,CHICKEN NUGGETS WG BRD FC 30 LB,9,CS,30 lb,10073803110075,NUG-0602,Cardinal Valley,Cardinal Valley Poultry Co.,CV-1100,Sysco,2210983,52.75,2026-08-21
Lincoln Elementary,Freezer B,SPINACH CHOPPED ORGANIC IQF 10 OZ,22,CS,24/10 oz,024284969105,SPM1.190.5,Nature's Best,,,US Foods,4471290,19.40,2026-08-18
Lincoln Elementary,Freezer B,PEAS & CARROTS BLEND IQF 2 LB,17,CS,12/2 lb,,25080,Pictsweet,The Pictsweet Company,PS-2508,Sysco,3390172,14.25,2026-08-27
Lincoln Elementary,Cooler 1,MOZZARELLA CHEESE SHREDDED LMPS 5 LB,11,CS,4/5 lb,,MZ-4471,Bongards,,,Sysco,5540118,41.10,2026-08-25
Lincoln Elementary,Freezer A,BEEF CRUMBLES COOKED TACO SEASONED 5 LB,6,CS,4/5 lb,,,Prairie Line,Prairie Line Beef LLC,PL-0904,US Foods,6612034,33.90,2026-08-19
Lincoln Elementary,Dry Store,PEAS & CARROTS DICED CN 16 OZ,8,CS,12/16 oz,,K10635,Del Monte,,,Sysco,7712045,11.80,2026-08-11
Lincoln Elementary,Dry Store,APPLES FRESH 125 CT,5,CS,125 ct,,,,,,US Foods,8823014,28.00,2026-09-02
Lincoln Elementary,Dry Store,BREAD WHOLE GRAIN SLICED 24 OZ,12,CS,8/24 oz,,BR-2210,Bimbo Bakeries,,,US Foods,2210447,16.45,2026-09-01
Lincoln Elementary,Cooler 1,MILK 1% LOWFAT HALF PINT,240,CS,50 ct,,M0903,Prairie Farms,,,Prairie Farms,M-1050,9.60,2026-09-03
Lincoln Elementary,Dry Store,RICE BROWN PARBOILED 25 LB,7,CS,25 lb,,RB-8890,Riviana,,,Sysco,8890211,22.30,2026-08-14
Lincoln Elementary,Freezer B,CORN WHOLE KERNEL IQF 2 LB,15,CS,12/2 lb,,CN-1120,Pictsweet,The Pictsweet Company,PS-1120,Sysco,1120336,13.75,2026-08-20
Lincoln Elementary,Dry Store,BEANS BLACK CANNED #10,10,CS,6/#10,,BB-3301,Bush's,,,US Foods,3301780,24.90,2026-08-08
Lincoln Elementary,Cooler 1,YOGURT LOWFAT STRAWBERRY 4 OZ,30,CS,48 ct,,YG-7712,Yoplait,General Mills,YP-4402,Sysco,7712900,18.20,2026-09-02
Lincoln Elementary,Dry Store,PEANUT BUTTER SMOOTH 5 LB,4,CS,6/5 lb,,PB-5540,Jif,,,US Foods,5540663,39.75,2026-07-30
Lincoln Elementary,Freezer A,CORN DOGS CHICKEN & PORK 4 OZ 72 CT,,CS,72 ct,,8791-A,Havenbrook,Havenbrook Pork Products,HB-8791,Sysco,8791502,31.20,2026-08-16
Lincoln Elementary,Dry Store,CARROTS BABY PEELED FRESH 5 LB,9,CS,4/5 lb,,,Grimmway,,,US Foods,4408119,21.40,2026-09-03
Roosevelt Middle School,Walk-in Freezer,CHICKEN STRIPS BRD FC FROZEN 2/5 LB,19,CS,2/5 lb,,4831A,Cardinal Valley,Cardinal Valley Poultry Co.,CV-4829,Sysco,1873452,38.50,2026-08-23
Roosevelt Middle School,Walk-in Freezer,CHICKEN PATTY BRD WG 3.0 OZ 30 LB,13,CS,30 lb,10073803110242,CP-0518,Cardinal Valley,Cardinal Valley Poultry Co.,CV-1102,Sysco,0518774,49.30,2026-08-22
Roosevelt Middle School,Cooler 2,TURKEY BREAST SLICED OVEN ROASTED 6 LB,8,CS,2/6 lb,,6112A,Northfield,Northfield Provision Company,NP-6112,US Foods,6112038,44.60,2026-08-29
Roosevelt Middle School,Cooler 2,FRUIT MIX CUT FRESH 5 LB,6,CS,1/5 lb,,X0924992,Del Monte,,,US Foods,9249921,17.85,2026-09-01
Roosevelt Middle School,Dry Store,SNACK BAR CHOCOLATE CHERRY 12 CT,14,CS,12 ct,,L1300A,Kind,,,Sysco,1300471,26.40,2026-08-28
Roosevelt Middle School,Walk-in Freezer,CHICKEN FAJITA STRIPS SEASONED FC 5 LB,7,CS,2/5 lb,,4831A,Cardinal Valley,Cardinal Valley Poultry Co.,CV-4831,Sysco,4831665,36.90,2026-08-23
Roosevelt Middle School,Dry Store,TORTILLA FLOUR 8 IN 12 CT,11,CS,12/12 ct,,TF-6620,Mission,,,Sysco,6620113,15.50,2026-08-26
Roosevelt Middle School,Cooler 2,MILK CHOCOLATE LOWFAT HALF PINT,180,CS,50 ct,,M0903,Prairie Farms,,,Prairie Farms,M-1051,9.95,2026-09-03
Roosevelt Middle School,Walk-in Freezer,POTATO WEDGE CRINKLE CUT SAVORY 6 CUT 5 LB,12,CS,6/5 lb,,,Simplot,JR Simplot Company,473015,Sysco,8812207,27.60,2026-08-15
Roosevelt Middle School,Dry Store,SALSA MILD #10 CAN,5,CS,6/#10,,SL-4408,Red Gold,,,US Foods,4408552,29.10,2026-08-07
Roosevelt Middle School,Dry Store,PASTA PENNE WHOLE GRAIN 10 LB,9,CS,2/10 lb,,PP-9931,Barilla,,,Sysco,9931204,20.85,2026-08-12
Roosevelt Middle School,Cooler 2,LETTUCE ROMAINE CHOPPED 2 LB,7,CS,6/2 lb,,,Taylor Farms,Taylor Farms,TF-2201,US Foods,2201668,23.70,2026-09-02
Roosevelt Middle School,Dry Store,ORANGES FRESH 113 CT,6,CS,113 ct,,,Sunkist,,,US Foods,1130742,30.25,2026-09-02
Roosevelt Middle School,Walk-in Freezer,BROCCOLI FLORETS IQF 2 LB,10,CS,12/2 lb,,BF-2277,Mann's,Mann Packing Company,MP-2277,US Foods,2277190,18.90,2026-08-19
Roosevelt Middle School,Dry Store,CEREAL BOWL ASSORTED 96 CT,20,CS,96 ct,,CE-1188,Kellogg's,Kellogg Company,KG-1188,Sysco,1188031,34.40,2026-08-05
Roosevelt Middle School,Cooler 2,CHEESE AMERICAN SLICED YELLOW 5 LB,9,CS,4/5 lb,210006046400,CH-0220,Land O'Lakes,,,Sysco,0220914,37.15,2026-08-13
Roosevelt Middle School,Dry Store,BEANS REFRIED CANNED #10,8,CS,6/#10,,RF-5512,Bush's,,,US Foods,5512338,25.60,2026-08-09
Central High School,Freezer 3,GROUND BEEF 80/20 COARSE 10 LB CHUB,21,CS,6/10 lb,,25142,Prairie Line,Prairie Line Beef LLC,PL-2514,US Foods,2514207,54.80,2026-08-30
Central High School,Cooler A,BEEF TACO FILLING SEASONED 5 LB,10,CS,4/5 lb,,25139,Prairie Line,Prairie Line Beef LLC,PL-2513,US Foods,2513911,42.15,2026-08-28
Central High School,Dry Store,CHICKEN BROTH NO SALT ADDED 32 OZ,16,CS,12/32 oz,041220273355,98C06193,Swanson,,,Sysco,2733554,23.45,2026-08-17
Central High School,Freezer 3,POTATO WEDGE CRINKLE CUT SAVORY 6 CUT 5 LB,18,CS,6/5 lb,,,Simplot,JR Simplot Company,473015,Sysco,8812207,27.60,2026-08-15
Central High School,Freezer 3,SAUSAGE PATTY PORK FC 1.5 OZ 160 CT,11,CS,160 ct,,8817-C,Havenbrook,Havenbrook Pork Products,HB-8817,Sysco,8817440,35.70,2026-08-26
Central High School,Cooler A,CHICKEN DICED COOKED 1/2 IN 5 LB,9,CS,4/5 lb,,6209,Northfield,Northfield Provision Company,NP-6209,US Foods,6209117,46.20,2026-09-02
Central High School,Dry Store,VEGETABLE PIZZA MIX 2.5 LB,5,CS,2.5 lb,795631819731,VP-1010,Schwan's,Schwan's Global Supply Chain,SW-1010,Sysco,1010882,,2026-08-10
Central High School,Dry Store,PANCAKE MIX BUTTERMILK COMPLETE 5 LB,6,BG,5 lb,,MM-3345,Morrison's,C. H. Guenther & Son,MM-3345,US Foods,3345021,,2026-07-28
