recipe_id,component
R01,grain
R01,meat_or_alternate
R01,vegetable
R01,fruit
R01,milk
R02,grain
R02,meat_or_alternate
R02,vegetable
R02,milk
R03,grain
R03,meat_or_alternate
R03,vegetable
R03,fruit
R03,milk
R04,grain
R04,meat_or_alternate
R04,vegetable
R04,fruit
R04,milk
R05,grain
R05,meat_or_alternate
R05,vegetable
R05,milk
R06,grain
R06,meat_or_alternate
R07,grain
R07,meat_or_alternate
R07,vegetable
R07,milk
R08,grain
R08,meat_or_alternate
R08,vegetable
R09,grain
R09,meat_or_alternate
R09,fruit
R09,milk
R10,grain
R10,meat_or_alternate
R10,fruit
R10,vegetable
R10,milk
R11,grain
R11,meat_or_alternate
R11,vegetable
R11,milk
