recipe_id,ingredient_name
R01,CHICKEN STRIPS BRD FC FROZEN 2/5 LB
R01,POTATO WEDGE CRINKLE CUT SAVORY 6 CUT 5 LB
R01,APPLES FRESH 125 CT
R01,MILK 1% LOWFAT HALF PINT
R01,BREAD WHOLE GRAIN SLICED 24 OZ
R02,BEEF TACO FILLING SEASONED 5 LB
R02,TORTILLA FLOUR 8 IN 12 CT
R02,MOZZARELLA CHEESE SHREDDED LMPS 5 LB
R02,SALSA MILD #10 CAN
R02,CORN WHOLE KERNEL IQF 2 LB
R02,MILK 1% LOWFAT HALF PINT
R03,CHICKEN NUGGETS WG BRD FC 30 LB
R03,CORN WHOLE KERNEL IQF 2 LB
R03,APPLES FRESH 125 CT
R03,MILK 1% LOWFAT HALF PINT
R04,TURKEY BREAST SLICED OVEN ROASTED 6 LB
R04,BUN HAMBURGER WHOLE GRAIN 12 CT
R04,LETTUCE ROMAINE CHOPPED 2 LB
R04,ORANGES FRESH 113 CT
R04,MILK CHOCOLATE LOWFAT HALF PINT
R05,MOZZARELLA CHEESE SHREDDED LMPS 5 LB
R05,TOMATO SAUCE CANNED #10
R05,FLOUR ALL PURPOSE ENRICHED 50 LB
R05,CARROTS BABY PEELED FRESH 5 LB
R05,MILK 1% LOWFAT HALF PINT
R06,BEANS REFRIED CANNED #10
R06,MOZZARELLA CHEESE SHREDDED LMPS 5 LB
R06,TORTILLA FLOUR 8 IN 12 CT
R07,GROUND BEEF 80/20 COARSE 10 LB CHUB
R07,PASTA PENNE WHOLE GRAIN 10 LB
R07,TOMATO SAUCE CANNED #10
R07,BROCCOLI FLORETS IQF 2 LB
R07,MILK 1% LOWFAT HALF PINT
R08,CHICKEN FAJITA STRIPS SEASONED FC 5 LB
R08,TORTILLA FLOUR 8 IN 12 CT
R08,SALSA MILD #10 CAN
R09,YOGURT LOWFAT STRAWBERRY 4 OZ
R09,FRUIT MIX CUT FRESH 5 LB
R09,OATS ROLLED OLD FASHIONED 25 LB
R09,MILK 1% LOWFAT HALF PINT
R10,PEANUT BUTTER SMOOTH 5 LB
R10,BREAD WHOLE GRAIN SLICED 24 OZ
R10,GRAPES RED SEEDLESS FRESH 18 LB
R10,CARROTS BABY PEELED FRESH 5 LB
R10,MILK 1% LOWFAT HALF PINT
R11,BEANS BLACK CANNED #10
R11,RICE BROWN PARBOILED 25 LB
R11,CORN WHOLE KERNEL IQF 2 LB
R11,CARROTS BABY PEELED FRESH 5 LB
R11,MILK 1% LOWFAT HALF PINT
