item_description,uom,unit_cost,provenance
chkn strips froz,CS,38.50,hand-authored
chkn nuggets wg froz,CS,52.75,hand-authored
spinach froz org 10oz,CS,19.40,hand-authored
peas & carrots froz 2lb,CS,14.25,hand-authored
mozz shred lm,CS,41.10,hand-authored
beef crumbles ckd,CS,33.90,hand-authored
peas & carrots 16oz,CS,11.80,hand-authored
apples fresh 125ct,CS,28.00,hand-authored
brd whl grn slcd,CS,16.45,hand-authored
milk 1% hlf pt,CS,9.60,hand-authored
rice brown parboiled,CS,22.30,hand-authored
corn whl kernel froz,CS,13.75,hand-authored
bns black cnd,CS,24.90,hand-authored
yogurt lowfat 4oz,CS,18.20,hand-authored
pnut btr smooth,CS,39.75,hand-authored
corn dogs chkn prk,CS,31.20,hand-authored
carrots baby fresh,CS,21.40,hand-authored
chkn patty wg 3oz,CS,49.30,hand-authored
turkey brst slcd,CS,44.60,hand-authored
fruit mix cut fresh,CS,17.85,hand-authored
snack bar choc cherry,CS,26.40,hand-authored
chkn fajita strips,CS,36.90,hand-authored
tortilla flour 8in,CS,15.50,hand-authored
milk chocolate hlf pt,CS,9.95,hand-authored
pot wedges crnkl froz,CS,27.60,hand-authored
salsa mild #10,CS,29.10,hand-authored
past penne whl grn,CS,20.85,hand-authored
lettuce romaine chpd,CS,23.70,hand-authored
oranges fresh 113ct,CS,30.25,hand-authored
brocc florets froz,CS,18.90,hand-authored
cereal bowl asst,CS,34.40,hand-authored
chz amer slcd,CS,37.15,hand-authored
bns refried cnd,CS,25.60,hand-authored
grnd bf 80/20,CS,54.80,hand-authored
beef taco fill,CS,42.15,hand-authored
chkn broth ns 32oz,CS,23.45,hand-authored
saus patty prk ckd,CS,35.70,hand-authored
chkn diced ckd,CS,46.20,hand-authored
veg pizza mix,CS,,hand-authored
flour ap 50lb,BG,,hand-authored
bread bun whl grn,CS,19.30,hand-authored
fries swt pot froz,CS,31.85,hand-authored
bananas fresh,CS,24.10,hand-authored
turkey deli slcd,CS,28.95,hand-authored
tomato sce #10,CS,26.70,hand-authored
oats rolled bulk,CS,21.95,hand-authored
eggs lqd whl,CS,33.40,hand-authored
grapes red fresh,CS,32.60,hand-authored
